리뷰,별점
잘 먹었습니다 튀김옷 바삭하고 맛있어요 후라이드는 안짜고 담백하고양꼬치킨은 라면스프랑 쯔란 중간정도 맛이에요서비스로 주신 앙꼬찰빵 도 맛있었어요 많이 파세요,5
항상 맛있게 먹고 있어요,5
사진은 없지만 기름이 얼마나깨끗한지 진심맛있게먹음떡볶이도 요청대로맵게 엄청맛나게 잘먹었어요 감사합니다,5
넘 맛있어요 또 시킬께요,5
맛있게 잘먹었습니다,5
나무 맛이 아여 애호박튀김에 소스 너무 맛있아요 소스가 너무 맛나요,5
사진이 없네요 정신 없이 먹다보니 못찍었습니다 매번 시킬때마다 이거 시키는데 가끔씩 아 좀 맵다 라는거 빼면 흠잡을데 없이 맛있었습니다,5
너무맛있네요 추운날에 배달 감사합니다,5
항상 맛있는 치킨,5
맛있게 잘 먹었습니다 꿔바로우 맛도 별미네요,5
맛있게 잘 먹었습니다,5
맛은 고급스럽진 않고 돈 없던 대학생 시절에 많이 먹던 보급형 동네치킨 맛인데가격에 비해 양은 진짜 많습니다맛 4 점 양 6 점 해서 평균 5 점 드립니다,5
맛있어요,5
항상 맛있게 잘먹고 있습니다,5
항상 맛있게 먹고 있습니다배달도 빠르고치킨을 조금더 바삭하게 튀겼으면 더 맛일을것 같습니다수고하세요,5
맛있어요,5
배달은 늦지만 맛있어요,5
처음 주문해봤어요 간장치킨이 살짝 짜긴했는데 전체적으론괜찮았어요순살 부드러워서 애들이 좋아했어요,5
맛쵸킨 맵지만 너무 맛있어서 참고 먹었습니다 진짜 맛있어요,5
익히 소문은 들었는데 이제서야 맛을 봤네요 순살에 다리살이라 아이들 주기 편했고 떡볶이도 맛있고 아주 굿굿,5
맛나게 잘먹었어요,5
다음엔 다른 매뉴 시켜볼게요 잘먹었습니다,5
적수가없눈 최고의 가게,5
좋아요 추천합니다,5
정말 최고에요 추천해요,5
배달 밀렸는지 오래걸림 양념맛은 좋다 치킨이랑 치즈스틱은 식어서와서 그냥 쏘쏘,5
간장치킨이 맛있어요,5
맛있게 잘 먹었습니다,5
치킨도 담백하고 너무 맛있게 먹었어요,5
좋아용 오늘도 수고하셨습니다,5
치킨도 맛있고 갠적으로 고추치즈 소스 넘 좋아여 떡볶이도 이벤트로 주는거 치고 엄청 푸짐하고 맛있게 먹었어요,5
치킨은 가족들이 몇개 덜어놔서 양이 적어보이는 거예요 암튼 저는 후라이드 파고 가족들은 매콤양념파인데 둘 다 만족하는 식사였습니다 떡볶이 안좋아한다던 엄마도 떡볶이 맛나다며 잘 드셨어요,5
어니언 소스랑 양파 따로주시는거 너무 좋았고 양파도 신선해서 너무 맛있었습니다 서비스로 주신 미니핫도그도 잘 먹었습니다 다음에 또 시켜먹을게요,5
맛있어요 치킨 떡볶이 다 최고요,5
사장님 떡볶이 너무 맛있어요 항상 감사합니다,5
떡볶이가 서비스라고 하기엔 감사히 잘 먹었습니다 다음엔 다른메뉴로 먹어봐야겠어요 예상시간보다 더 빨리 와주셨네요 추운날 감사합니다,5
맛있어요 다만 일회용수저 넣어달라고 했는데 빠뜨리셨더라구요,5
양념도 간장도 너무너무 맛있어요 리뷰이벤트로 주신 떡볶이도 감사히 잘 먹었습니다,5
배달 빠르고 맛있게 먹었습니다,5
배달도 적당시간에오구 맛은 어우 말해머해,5
시간이 좀 오래걸리긴했는데 맛있게 잘먹었습니다,5
메인이 가장 맛이고 일반 치킨은 일반 치킨이네요 하지만 겉바속촉이라 담백하게 먹었네요,5
맛있게 잘 먹었습니다,5
맛있게 잘 먹었습니다,5
기대 반 걱정 반 시켰는데 생각보다 소스와의 조합도 좋고 맛있었습니다 리뷰 이벤트로 치즈스틱 3 개 추가로 받았는데 치즈스틱도 엄청 맛있네요,4
,5
배터지게 잘먹었어요 가성비 갑,5
맛 양 어느것하나 빠지지않고 너무 좋았어요 그보다 더 좋은건 사장님이신거 같아요 한창 바쁘신때라 배달에 약간 실수가 있어서 말씀드렸는데 정말 친절하고 빠르게 응대를 해주셔서 너무 감사했습니다 덕분에 기분좋게 맛있게 잘 먹고 주말 잘 마무리 한거같아요 감사합니다 돈벌어서 또 올께요 꽝꽝꽝,5
급하게 잘먹었습니다 다음에 또시킬께요 감사합니다,5
배송도 맞춰서왔고 로제닭볶이는 항상 맛있어요,5
언제나 한결같이 맛있어요,5
맛있었는데 주문이 많아서인지 껍데기가 벗겨진 치킨이 좀 있었어요,5
순살이 부드럽고 너무 맛있어요,5
처음 시켜봤는데 튀김옷도 바삭하니 고소하구 아주 맛있게 먹었습니다 자주 시켜야겠어요,5
양이 너무많아서 남겼어요,5
맛있어요 치킨이 옛날시장치킨느낌 떡볶이는 기성품느낌이지만 맛나요,5
순살치킨 너무 양 마니 잘 먹었어요,5
언제 먹어도 맛있네요,5
맛있게 먹었습니다,5
되게 신선하고 맛있었습니다,5
둘다 정말 맛있네요 양도 많고 떡볶이는 제가 좋아하는 맛이네요 잘먹었습니다,5
맛있네요 떡볶이도 치킨도 나쵸도,5
감사합니다,5
가성비 갑입니다 굿굿,5
노란색 소스는 정말 맛있었는데 갈색소스는 저랑은 좀 안맞더라구여 근데 배달도 생각보다 빨리오시구 양도 두명이서 배불리 먹어서 넘 좋았어영,5
감사합니다잘먹엇습니다,5
따뜻하게 배달와서 맛있게 먹었습니다 후라이드 최고,5
맛도 좋고 괜찮았으나 배달이 많이 밀려서 치킨이 차갑네요,3
닭봉도 맛난데 닭똥집 핫도그도 맛집이네요,5
부모님이 이 집 떡볶이를 참 좋아하셔서 부모님이랑 같이 먹을땐 항상 여기서 시켜요,5
배달빠르고맛잇어요,5
맛나게 잘 먹었어요 사장님 짱짱맨,5
닭다리살 순살치킨이 좋아서 주문했는데 치킨고 맛있고 떡볶이 맛집인가요 떡볶이에 오뎅까지 맛있네요,5
뜨겁게 와서 맛있게 먹었습니다,5
감사합니다 바삭하고 맛잇어욧,5
새로나왔대서 시켜봤는데 확실히 차별화된맛 이네요 다음에도 시킬듯,5
서비스 떡볶이 너무 맛있었어요 후라이드 최고,5
떡볶이 맛집 인가요 잘 먹었습니다,5
치킨대전보고 궁금해서 시켜봤는데 엄청 맛있었어요 소스도 듬뿍 깔끔하게 2 종류나 주시고 서비스도 감사히 잘먹었습니다,5
각 한마리씩 시키는게두마리세트보다 양이좀 많은듯한건제생각인가요 추운날 따뜻하게 잘먹었습니다,5
맛있게 잘먹었습니다,5
감사합니다 맛있게 잘먹을게요,5
바빠도 시간은 맞춰서 오는 것도 너무 좋은 맛있는 치킨 먹는 것도 너무 행복해요 소스 빠져서 말씀 드렸는데 빠르게 부탁드릴께요 그리고 중요한 건 맛있습니다,4
친절한사장님과 너무 맛있는 치킨과 떡볶이 그리고 7 살 아들이 넘 좋아한 김말이서비스까지 감사합니다 또주문할께요,5
아이가 너무 좋아하네요 치킨도 바삭바삭 맛나고 떡볶이도 맵싹하니 좋았어요 리뷰이벤트로 주신 공룡알도 쫀득달달해서 맛나게 먹었습니다,5
순살치킨은 여기서만 사켜먹어요,5
오자마자 흡입하느라 사진이 없네요 후라이드 치킨하고 로제떡볶이 매운맛 주문했어요 후라이드 치킨은 전 맛있었는데 저희 어머니는 좀 싱겁다고 하시네요 그리고 바삭한 치킨을 좋아해서 바싹 튀겨달라고 요청했는데 처음 시킨거라 더 튀기신건지는 잘 모르겠는데 좀더 바삭했음 했어요 로제떡볶이는 기대 이상으로 맛있었어요 떡도 완전 쫄깃하고 매운 정도도 제 입맛에 딱이네요 전체적으로 맛있게 먹었습니다 즐거운 성탄절 되시고 번창하세요,5
감사합니다 좋아요,5
맛잇고 양도많아요 추천,5
,5
항상 맛나게 먹어서 시키네요,5
배달예상 90 분 꽉채워서 도착 음식도 미지근했습니다 아쉽네요,4
양도 많고 담백하고 바삭하게 잘 튀겨져 왔네요,5
치킨도 그렇구 떡볶이 너무 맛있어요 도너츠도요 감사합니다,5
푸짐하게 잘 먹었습니다,5
맛있게 잘 먹었습니다,5
맛있게 먹었습니다 감사합니다,5
치킨대전 프로그램 보고 시켜봤는데 치킨이 정말 맛있어요 소스랑도 잘 어울려요,5
다른데서는 맛볼수없는 양꼬치킨 맛있습니다,5
맛있게 잘먹겠습니다,5
날이 추워 약간 식긴했지만 바삭하고 맛있습니다 떡볶이도 굿입니다,5
간만에 먹었는데 맛있었어요,5
오늘 크리스마스이브에 할인이벤트도 해주시고즐거운날 맛있게 잘 먹었습니다,5
맛있어요 추천해요,5
새로나온 메뉴 괜찮네요,5
뼈두마리 치킨 은 사랑입니다 얇은피를 좋아하는 저는 치킨플러스 후라이드가 너무 좋아요 바삭바삭하고 담백한 후라이드 얼마나 맛있게요 달콤한 양념으로 무장한 양념치킨 역시 짱입니다 치킨볼도 시켜서 먹었는데 역시 맛있었어요 다만 뿌링클가루 뿌려진 치킨볼을 치킨플러스에서도 먹고싶네요 시켜먹을때마다 주시는 서비스도 감사합니다 잘 먹었어요 즐거운 크리스마스 보내세요,5
굿굿 맛있어요 감사합니다,5
마늘은 진짜 완전 찐 마늘맛이라 만족했고 핫쵸킹은 맵찔이에게는 너무 매웠따 떡볶이는 진짜 맛있었어요 거의 떡볶이 맛집,5
맛있게 잘 먹었습니당,5
치킨대전에서 나왔다고 한 치킨이라고 들어서 시켜봤는데 맛은 된장 맛이 나면서 기존의 양념치킨맛이 느껴지는 그런 맛이더라구요 상당히 맛이 신기했어요 엄청 맛있더라구요 앞으로 치킨 생각나면 여기서 자주 시켜먹을 거 같아요,5
너무 맛있게 잘먹었습니다 여기서만 시켜먹어야겠어요 감사합니다,5
배달 안전하게 잘 해주셨구요 음식 맛있었어요 치킨 바삭하고 마늘 양념이라 느끼하지 않아서 더 맛있었어요,5
맛있어요 다음에도 시켜먹을게요,5
순살 안 좋아하는데 이집 순살은 왠지 자꾸 땡기네요,5
맛있게 잘 먹었습니다,5
량도많고 떡볶이도 맛있었습니다 리뷰이벤트 참여를 까먹어서 슬퍼하고있었는데 리뷰이벤트 음식이 함깨 와서 감동이얐어요,5
너무맛있어용,5
맛잇어요,5
마싯네요,5
맛있게 잘먹었습니다,5
잘먹었습니다 맛있어오,5
맛있게 잘먹었어요,5
맛있게 잘먹었습니다,5
맵초킹은 맵고 새콤했고 간장치킨은 맛있는데 제취향은 아니였네요 둘다 염지된것처럼 짭짤하고 잡내같은건 전혀없었습니다 닭강정처럼 바삭바삭해요,5
솔직히 리뷰달께요 오늘 배달 너무 늦게왔어요 닭도 다 식어서 거짓말안보태고 냉동닭온줄 알았습니다 너무 식어서 반품보낼까하다 가족들 배고파해서 전자렌지에 데워서 그냥 먹긴했는데 이건 좀 아니지않나 싶습니다 그나마 여기 당골인데 종종 식은닭이와서 실망스럽네요,1
치킨 맛있는데 떡볶이가 입에 딱맞네요 담에 또 주문할게요,5
감사합니다한시간 걸린다고했는데 딱 한시간걸렸구요간장이 넘 맛있네요,5
치킨은 최고에요소스가 조금 애매해요,5
다릿살만 있다니 잘 먹었습니당,5
약간 다이어트음식 짤로 보일순있겠지만 바삭바삭 맛나다 마늘소스랑 더 잘어울리는듯,5
맛있게 잘먹었어요,5
맛있네요 다음엔 깜슐랭치킨 먹어봄,5
맛있어요 여기 서비스가 아주 좋아요 굿입니다,5
소스와 치킨 밸런스가 너무 좋네요,5
식후감치킨대전 보고 먹어보고 싶었던 깜슐랭 치킨을 주문했어요 치킨플러스를 처음 시켜보는데 치킨이 바삭바삭하네요 오징어 먹물이 부담스럽지 않았고 후라이드랑 비슷한데 좀더 바삭했어요 찍어먹는 소스도 두 종이나 오고 양도 많이 줘서 부족하지 않습니다 특히 여기 치즈스틱이 기가 막히게 맛있습니다 잘 막었습니다,5
상당히 맛이 좋네요자주 시킬거같습니다,5
너무맛있어요 또 주문할께요,5
배달 빠르고 맛있고 푸짐해요,5
늦은 시각 주문했는데도 따뜻하고 바삭하게 바로 퉈겨주셔섶맛나게 먹었습니다,5
매울라나 하고 혹시걱정했는데 안맵고 좋네요 넘맛있습니다 조아요,5
맛있었습니다 역시 치킨플러스 굿굿,5
맛있게 먹었습미당,5
순살 양도 진짜 많고 배달도 빨라서 따뜻하게 먹어서 좋았습니다 떡볶이도 존맛탱,5
개봉점 체고 이벤트하는데도 안늦게 배달해주셔서 감사합니당 정말 맛있어효,5
짐 먹고 있는데 여기 치킨 맛집이었네요 진짜 맛있네요 근데 떡볶이도 맛있는건 반칙 아닙니까,5
먹이버려서 없어용사진이,5
맛있어요 잘먹겠습니다,5
항상 맛있게 잘 먹고 있습니다 배달도 빠르고 좋아요,5
육퇴하고 배부르게 맛나게 먹었어요 배달도 빠르고 기사님도 친절하셨어요 감사합니다,5
리뷰와 치킨소개글보고 기대했는데 되게자극적이거나 염지가 많이되거나하진않은 순한맛이고 좀질리는맛이네요 전혀 맵지도않아요,4
처음 시켜먹어보는데 튀김옷이 엄청 바삭하게 잘됬어요 그리고 보통 세트메뉴로 시키게되면 양이 조금 적을줄 알았는데 여기는 한마리시킬때처럼 왔구요 떡볶이도 부모님 입맛에 딱맞게 잘되어 맛있게 잘먹었답니다 다음엔 다른맛도 시켜먹어봐야겠네요,5
맛있게 잘 먹었습니다 감사합니다,5
맛잇어요 매운맛으로 꼭드세요,5
가격도 괜찮은데 매콤하고 맛있었습니다,5
잘 먹었습니다 가성비 좋아요,5
맛있게 잘 먹었어요,5
배달이 두시간 가까이 걸려서 좀 아쉽긴 했는데 정말 맛있었습니다 또 주문할게요,5
치킨대전에서 진출한 메뉴라고해서 주문해봤어요 가족들중에서는 호불호가 있네요 저는 기대보다는 무난한 느낌이라 다른버전의 양념치킨 정도의 느낌이었습니다 양은 작지만 곁들여나온 튀김은 마음에 들었고요 저는 얼마전에 먹은 다른메뉴들이 더 제 취향이네요,5
양파랑 소스 용기에 담아져서 오는게 너무 좋네요튀김도 바삭하고 간도 적당하니 맛있어요,5
처음 시켜본 치킨 브랜드 엿어요 성공적이엿습니다 아주 맛잇네요,5
맛있게 잘 먹었습니다 신제품인데 좀 익숙한 맛이면서도 곁들인 튀김이 나쁘지 않네요,5
신메뉴 짭쪼름하고 맛나네용,5
치킨대전인가 그건 안 봐서 모르겠는데특이해보여서 시켰어요 치킨 겉바속촉에 유자소스가 맛있어요,5
치킨 자체의 맛은 후라이드랑 큰 차이는 없는데 입천장 까졌을 정도로 대박 크리스피해요 엄청 바삭바삭한 치킨에 소스 찍어먹으니 딱이더라고요유자마늘소스는 마늘보쌈소스처럼 달달한 맛에 유자청으로 살짝 새콤한 맛이 첨가된 느낌인데 치킨이랑 진심 잘 어울림 치즈소스도 괜찮게 어울렸어요일단 그냥 먹기보단 소스에 찍어서 먹는다고 생각하면 될듯 다 좋았는데 사진에 보이던 것처럼 귤칩은 없어서 살짝 아쉬웠네요,5
배달예상시간보다 빨리와서좋았습니다치킨양도많고 떡볶이 도많아서 깜짝놀랐어요맛있게먹었습니다,5
오늘도 맛있었어요,5
맛잇어요 잘먹엇어요,5
김말이 서비스에 맛있게 잘 먹었습니다,5
바삭하고 맛있어요최고에요,5
바삭하고 너무맛있어요,5
소스 맛있어요 겉은 바삭하고 느끼함이 없어요,5
역시 치플안 먹어본 핫쵸킹이랑 꿀잼치킨 먹어봤는데 역시 맛있어요 핫쵸킹은 깔끔한 매운 맛이고 꿀잼치킨은 매운 맛 하나도 없는 달달한 맛이에요 떡볶이도 역시,5
배달도 늦지 않게 오고 맛있게 잘먹었어요 서비스로 주신것도 같이요,5
최고로 맛있어요 새로운 조합 으로 시켜봤는데 대성공 이네요다음에는 금요일에 맥주랑 한잔 해야 겠어요배달도 빨리와서 더 만족요,5
양파랑 크리미언소스 따로 주시는사장님 센스굳,5
맛잇엇어요 또시킬게요,5
맛있게 잘 먹었습니다,5
엄청맵네요 맛있는데 매워요 매운거 못먹는 사람이라 담엔 달달한치킨으로 골라야겠어요,5
맛잇었어요 좋아요,5
처음 먹어 보는데 맛있네요 다음에 또 먹어야지,5
정말 맛있습니다 순살로 시켰는데 바삭하고요특히 소스 두가지가 있는데 너무 맛있습니다 추천합니다 아 그리고 서비스 감사합니다,5
치킨도 떡볶이도 맛있어요 서비스로 주신 미니핫도그 또한 짱맛,5
첫주문이었는데 바삭하고 안느끼하고 진짜 맛있었습니다 다음에 또 시켜먹고싶네요,5
맛있게 잘먹었습니다 수고하세요,5
아이들이랑 맛있게 잘 먹었습니다,5
오랜만에 주문 했는데 옛날 치킨 맛 그대로 맛있습니다 서비스 감사해요,5
맛있게 잘 먹었습니다,5
양도많고 맛있네요 애들이 좋아해요,5
잘먹었습니다 공룡알 맜잇네요,5
치킨도 치킨인데 떡볶이가 참 맛있단 말이죠 떡볶이 맛집,5
눈맞은치킨은 치즈가루소스가 잘발라져있구요양념치킨은 맵지않고 적절한맛리뷰이벤트 떡볶이 너무맛있습니다,5
빠른 배송이고 맛있어요 서비스도 주셔서 감사합니다 잘 먹었습니다,5
맛있어요 튀김옷 얇아서 고소하고 닭상태도 좋네요 리뷰치즈스틱도 맛있습니다,5
짱입니다 맛있어여,5
치킨 맛있게 먹었습니다그런데 다리 봉이 몇개 덜 익은게익히는거 조금 신경 써두셔여,5
맛있게 잘먹었습니다,5
감사합니다,5
양념 너무 맛있어요 치킨대전 열심히 보고 있는데 메뉴 맛볼수 있어서 좋았엉,5
맛있게 잘 먹었습니다,5
맛있게 잘 먹었습니다 평소와 다르게 떡볶이가 너무너무 맵네요 분명 보통맛으로 시켰는데 아주 매운맛으로 느껴지는 맛이네요,5
맛은 좋았는데 날씨가 그래서 그런지 좀 식어서 왔네요 그래도 잘 먹었습니다,4
여긴 솔직히 왠만한 치킨은 가성비 맛 존맛 인정합니다 그런데 저의 입맛에는 안맞군요,5
배달 엄청 빠르시고 넘 맛있어용,5
새로운맛이고 물리지안음근데 나는 시커먼게 더 맛있는듯,5
아 세상에 무슨말을해요,5
시험기간이라 출출하다는 청년들에게그들이 픽한 이 음식을 보내줬네요맛났대요양도 넉넉했대요배달속도도 빨랐구요감사해용,5
넘무 매워요 그래서 좋아요스트레스 받았는데 잊게 되네요 감사합니답,5
맛있게 잘 먹었습니다,5
너무 맛있습니다 서비스 감사합니다,5
배달도 빠르고 너무 맛있었어요집근처시키다가 집근처가 별로다 여기로 바꾸었는데 잘바꾼거같아요 앞으로는 여기서만 시켜먹으려고요진짜맛있어요,5
치킨 크고 맛있습니다,5
신메뉴 너무 맛있었습니다,5
찹쌀 도너츠가 생각지도 못하게 맛있네요 어니언치킨은 말모말모 넘 마싯어용,5
매운맛과 치즈의 조합 좋네요바삭하고 떡볶이도 생각보다 양이 많네요,4
치킨이랑 떡볶이 너무 맛있어요 앞으로 자주 시킬 것 같아요,5
배달에서 문자달라고 요청했는데 문자가 오지 않아서 언제 배달이 왔었는지 알 수 없었네요 다음에는 배달에 조금 더 신경 써주시면 감사하겠습니다,4
맛있게 잘 먹었습니다,5
맛있게 잘 먹었어요 역시 치플,5
